20141001 013600;109.852000;109.863000;109.850000;109.859000;0
20141001 013700;109.860000;109.864000;109.859000;109.864000;0
20141001 013800;109.863000;109.863000;109.846000;109.861000;0
20141001 013900;109.862000;109.876000;109.862000;109.875000;0
20141001 014000;109.876000;109.876000;109.861000;109.863000;0
20141001 014100;109.861000;109.861000;109.847000;109.848000;0
20141001 014200;109.850000;109.856000;109.850000;109.850000;0
20141001 014300;109.851000;109.864000;109.850000;109.864000;0
20141001 014400;109.862000;109.876000;109.860000;109.874000;0
20141001 014500;109.875000;109.876000;109.870000;109.874000;0
20141001 014600;109.876000;109.876000;109.854000;109.856000;0
20141001 014700;109.855000;109.855000;109.840000;109.840000;0
20141001 014800;109.839000;109.846000;109.838000;109.841000;0
20141001 014900;109.842000;109.846000;109.837000;109.837000;0
20141001 015000;109.838000;109.840000;109.826000;109.830000;0
20141001 015100;109.828000;109.828000;109.812000;109.816000;0
20141001 015200;109.817000;109.818000;109.797000;109.802000;0
20141001 015300;109.804000;109.813000;109.802000;109.811000;0
20141001 015400;109.812000;109.830000;109.812000;109.816000;0
20141001 015500;109.818000;109.830000;109.814000;109.814000;0
20141001 015600;109.815000;109.815000;109.812000;109.812000;0
20141001 015700;109.811000;109.823000;109.808000;109.813000;0
20141001 015800;109.811000;109.828000;109.807000;109.816000;0
20141001 015900;109.816000;109.825000;109.814000;109.815000;0
20141001 020000;109.814000;109.828000;109.814000;109.815000;0
20141001 020100;109.814000;109.814000;109.793000;109.810000;0
20141001 020200;109.811000;109.828000;109.811000;109.822000;0
20141001 020300;109.820000;109.845000;109.815000;109.835000;0
20141001 020400;109.837000;109.848000;109.837000;109.840000;0
20141001 020500;109.839000;109.844000;109.830000;109.833000;0
20141001 020600;109.834000;109.844000;109.833000;109.839000;0
20141001 020700;109.838000;109.846000;109.837000;109.846000;0
20141001 020800;109.844000;109.846000;109.836000;109.846000;0
20141001 020900;109.845000;109.847000;109.839000;109.839000;0
20141001 021000;109.841000;109.855000;109.841000;109.850000;0
20141001 021100;109.851000;109.855000;109.831000;109.841000;0
20141001 021200;109.843000;109.853000;109.843000;109.851000;0
20141001 021300;109.852000;109.859000;109.840000;109.855000;0
20141001 021400;109.853000;109.853000;109.823000;109.833000;0
20141001 021500;109.834000;109.839000;109.831000;109.836000;0
20141001 021600;109.835000;109.854000;109.831000;109.841000;0
20141001 021700;109.843000;109.847000;109.824000;109.826000;0
